Viscosity,Mean transfer volume for 1000 µL [µL],Mean transfer volume error of 1000 µL [µL],Mean relative error for transfer of 1000 µL [%],Standard deviation for transfer of 1000 µL [µL],Relative standard deviation for transfer of 1000 µL [%],Mean transfer volume for 500 µL [µL],Mean transfer volume error of 500 µL [µL],Mean relative error for transfer of 500 µL [%],Standard deviation for transfer of 500 µL [µL],Relative standard deviation for transfer of 500 µL [%],Mean transfer volume for 300 µL [µL],Mean transfer volume error of 300 µL [µL],Mean relative error for transfer of 300 µL [%],Standard deviation for transfer of 300 µL [µL],Relative standard deviation for transfer of 300 µL [%],Time to aspirate 1000 µL [s],Iterations to find best parameter,Driver
204,990.475113,-9.524887,-0.952489,2.837062,0.286434,485.853767,-14.146233,-2.829247,6.481352,1.334013,288.262047,-11.737953,-3.912651,3.128168,1.085182,93,6,Human
204,987.906315,-12.093685,-1.209369,7.774808,0.786999,485.642934,-14.357066,-2.871413,6.096399,1.255325,291.399253,-8.600747,-2.866916,2.86625,0.983616,95,10,ML
204,979.82,-20.18,-2.017958,0.009718,0.991798,482.851,-17.149,-3.429701,0.006299,1.304612,287.935,-12.065,-4.021722,0.004997,1.735299,85,10,FA
505,984.142036,-15.857964,-1.585796,3.663737,0.372277,485.299791,-14.700209,-2.940042,4.324096,0.891016,285.421898,-14.578102,-4.859367,4.29266,1.50397,240,6,Human
505,980.228653,-19.771347,-1.977135,9.464138,0.965503,486.378824,-13.621176,-2.724235,7.562846,1.554929,284.935243,-15.064757,-5.021586,4.271586,1.499143,180,10,ML
505,985.315044,-14.684956,-1.468495615,0.010906696,1.106924759,485.012832,-14.987168,-2.99743362,0.004771011,0.983687514,294.282389,-5.717611,-1.905870446,0.003353236,1.13946184,124,7,FA
817,986.412704,-13.587296,-1.35873,4.26993,0.432875,481.162698,-18.837302,-3.76746,4.647936,0.96598,283.707011,-16.292989,-5.430996,3.455187,1.217871,320,15,Human
817,967.44922,-32.55078,-3.255078,7.628998,0.788568,479.940691,-20.059309,-4.011862,3.627572,0.755837,281.583128,-18.416872,-6.138957,3.667929,1.30261,206,9,ML
817,983.946,-16.054,-1.605368,0.007405,0.752533,496.512,-3.488,-0.697641,0.006984,1.406554,287.96,-12.04,-4.013353,0.010768,3.739405,250,8,FA
1275,981.964294,-18.035706,-1.803571,7.151788,0.728314,478.876222,-21.123778,-4.224755,4.622118,0.965201,283.823722,-16.176278,-5.392093,4.584399,1.615227,670,9,Human
1275,983.845733,-16.154267,-1.615427,6.352251,0.645655,475.743827,-24.256173,-4.851235,2.95449,0.621025,282.010669,-17.989331,-5.996444,2.719241,0.964233,420,9,ML
1275,989.49839,-10.50161,-1.050161046,0.005721656,0.578238074,483.726599,-16.273401,-3.254680295,0.005523602,1.141885101,288.795858,-11.204142,-3.734714069,0.006247731,2.163372717,504,10,FA
